# JD    mag
2458346.505461  23.837635798375935
2458346.51  23.83763579317094
2458346.515987  23.837635786304524
2458346.526513  23.837635774229724
2458346.53704  23.837635762150388
2458346.547566  23.837635750068806
2458346.558093  23.837635737982684
2458346.568619  23.837635725894316
2458346.579145  23.837635713802552
2458346.589672  23.83763570170624
2458346.600198  23.83763568960768
2458346.610725  23.837635677504576
2458346.621251  23.83763566539922
2458346.631777  23.83763565329046
2458346.642304  23.837635641177148
2458346.65283  23.837635629061584
2458346.663356  23.837635616942613
2458346.673883  23.83763560481909
2458346.684409  23.837635592693307
2458346.694936  23.837635580562967
2458346.705462  23.83763556843037
2458346.715988  23.83763555629436
2458346.756421  23.837635509645185
2458346.766947  23.837635497492652
2458346.777474  23.837635485335547
2458346.788  23.837635473176178
2458346.798526  23.83763546101339
2458346.809053  23.837635448846026
2458346.819579  23.837635436676397
2458346.830106  23.83763542450219
2458346.840632  23.83763541232571
2458346.851158  23.837635400145807
2458346.861685  23.837635387961324
2458346.872211  23.837635375774568
2458346.882738  23.837635363583225
2458346.893264  23.837635351389615
2458346.90379  23.83763533919257
2458346.914317  23.837635326990934
2458346.924843  23.837635314787025
2458346.935369  23.83763530257968
2458346.945896  23.837635290367743
2458346.956422  23.837635278153527
2458346.966949  23.837635265934715
2458346.977475  23.83763525371362
2458346.988001  23.83763524148909
2458346.998528  23.837635229259956
2458347.009054  23.837635217028538
2458347.019581  23.83763520479252
2458347.030107  23.837635192554213
2458347.040633  23.837635180312464
2458347.05116  23.837635168066104
2458347.061686  23.83763515581746
2458347.072213  23.837635143564203
2458347.082739  23.83763513130866
2458347.093265  23.83763511904966
2458347.103792  23.83763510678605
2458347.114318  23.837635094520145
2458347.124844  23.837635082250788
2458347.135371  23.837635069976805
2458347.145897  23.837635057700535
2458347.156424  23.83763504541964
2458347.16695  23.837635033136447
2458347.177476  23.837635020849795
2458347.188003  23.837635008558514
2458347.198529  23.83763499626494
2458347.209056  23.83763498396673
2458347.249488  23.837634936699654
2458347.260014  23.837634924385824
2458347.270541  23.837634912067355
2458347.281067  23.837634899746583
2458347.291594  23.837634887421164
2458347.30212  23.837634875093443
2458347.312646  23.837634862762243
2458347.323173  23.837634850426397
2458347.333699  23.837634838088245
2458347.344225  23.837634825746612
2458347.354752  23.837634813400328
2458347.365278  23.837634801051735
2458347.375805  23.83763478869848
2458347.386331  23.83763477634292
2458347.396857  23.83763476398387
2458347.407384  23.837634751620165
2458347.41791  23.837634739254142
2458347.428437  23.837634726883454
2458347.438963  23.837634714510454
2458347.449489  23.837634702133965
2458347.460016  23.837634689752804
2458347.470542  23.837634677369323
2458347.481069  23.837634664981174
2458347.491595  23.837634652590705
2458347.502121  23.83763464019674
2458347.512648  23.8376346277981
2458347.523174  23.837634615397135
2458347.5337  23.83763460299267
2458347.544227  23.837634590583523
2458347.554753  23.837634578172057
2458347.56528  23.837634565755902
2458347.575806  23.837634553337423
2458347.586332  23.837634540915438
2458347.596859  23.837634528488763
2458347.607385  23.837634516059758
2458347.617912  23.837634503626067
2458347.628438  23.83763449119004
2458347.638964  23.837634478750505
2458347.649491  23.837634466306273
2458347.660017  23.837634453859707
2458347.670544  23.837634441408444
2458347.68107  23.837634428954846
2458347.691596  23.83763441649773
2458347.702123  23.837634404035906
2458347.742555  23.837634356139922
2458347.753081  23.837634343662227
2458347.763608  23.837634331179824
2458347.774134  23.837634318695077
2458347.784661  23.837634306205615
2458347.795187  23.837634293713805
2458347.805713  23.83763428121847
2458347.81624  23.83763426871841
2458347.826766  23.837634256216006
2458347.837293  23.83763424370888
2458347.847819  23.837634231199406
2458347.858345  23.837634218686393
2458347.868872  23.83763420616865
2458347.879398  23.83763419364856
2458347.889925  23.83763418112374
2458347.900451  23.837634168596566
2458347.910977  23.837634156065846
2458347.921504  23.837634143530394
2458347.93203  23.837634130992587
2458347.942556  23.837634118451234
2458347.953083  23.83763410590514
2458347.963609  23.837634093356684
2458347.974136  23.83763408080349
2458347.984662  23.837634068247933
